compound_id,concentration_uM,response_pct
compound_A_clean,0.001,2.46
compound_A_clean,0.003594,0.46
compound_A_clean,0.012915,3.27
compound_A_clean,0.046416,4.38
compound_A_clean,0.16681,5.32
compound_A_clean,0.599484,31.11
compound_A_clean,2.154435,76.65
compound_A_clean,7.742637,95.18
compound_A_clean,27.825594,99.31
compound_A_clean,100.0,98.62
compound_B_noisy,0.001,12.56
compound_B_noisy,0.003594,11.35
compound_B_noisy,0.012915,2.94
compound_B_noisy,0.046416,16.5
compound_B_noisy,0.16681,13.86
compound_B_noisy,0.599484,22.76
compound_B_noisy,2.154435,80.88
compound_B_noisy,7.742637,84.15
compound_B_noisy,27.825594,109.88
compound_B_noisy,100.0,99.3
compound_C_hook,0.001,4.5
compound_C_hook,0.003594,3.2
compound_C_hook,0.012915,9.77
compound_C_hook,0.046416,9.45
compound_C_hook,0.16681,22.73
compound_C_hook,0.599484,53.82
compound_C_hook,2.154435,83.3
compound_C_hook,7.742637,92.86
compound_C_hook,27.825594,106.24
compound_C_hook,100.0,106.29
compound_D_incomplete,0.001,9.43
compound_D_incomplete,0.002783,1.79
compound_D_incomplete,0.007743,1.48
compound_D_incomplete,0.021544,0.6
compound_D_incomplete,0.059948,4.96
compound_D_incomplete,0.16681,6.7
compound_D_incomplete,0.464159,3.53
compound_D_incomplete,1.29155,2.87
compound_D_incomplete,3.593814,6.9
compound_D_incomplete,10.0,20.79
compound_E_inactive,0.001,100.6
compound_E_inactive,0.003594,99.9
compound_E_inactive,0.012915,95.67
compound_E_inactive,0.046416,98.81
compound_E_inactive,0.16681,98.41
compound_E_inactive,0.599484,98.77
compound_E_inactive,2.154435,101.05
compound_E_inactive,7.742637,98.78
compound_E_inactive,27.825594,100.38
compound_E_inactive,100.0,98.24
